img_0,img_1,target
./classes/卖/jphD3.png,./classes/西/5TlCr.png,1
./classes/谷/zMFbv.png,./classes/巴/d3OEM.png,1
./classes/宾/rUzx3.png,./classes/观/np3ea.png,1
./classes/礼/egtc3.png,./classes/礼/DmsbF.png,0
./classes/文/ZLSsu.png,./classes/栗/D2PF9.png,1
./classes/多/UIrev.png,./classes/多/KvByq.png,0
./classes/仙/xpXiT.png,./classes/仙/IhCEU.png,0
./classes/喇/r04eF.png,./classes/打/WEUf4.png,1
./classes/江/BrFmi.png,./classes/葱/07FjW.png,1
./classes/芙/xT8Xe.png,./classes/发/jpZkE.png,1
./classes/富/iRPvq.png,./classes/拿/qSi7b.png,1
./classes/鹿/XQzjT.png,./classes/坯/tLBuy.png,1
./classes/百/2AgXT.png,./classes/百/myUv0.png,0
./classes/包/WqQRP.png,./classes/包/CG1gr.png,0
./classes/燕/aSZ8m.png,./classes/燕/aEc4v.png,0
./classes/橘/TKQxr.png,./classes/橘/h6YxI.png,0
./classes/枸/ySBF9.png,./classes/骨/vlqy8.png,1
./classes/窝/ZBC5G.png,./classes/仙/qImJL.png,1
./classes/醇/b0hHd.png,./classes/醇/9KJl5.png,0
./classes/居/Xl18J.png,./classes/窝/fT8ih.png,1
./classes/夹/Taint.png,./classes/杂/t93gq.png,1
./classes/壬/t8hxc.png,./classes/富/ivd7R.png,1
./classes/钙/qVSMf.png,./classes/钙/M2SvE.png,0
./classes/斯/lCBY3.png,./classes/胜/OGNb3.png,1
./classes/旺/z7fVD.png,./classes/旺/zLhlG.png,0
./classes/生/90LYQ.png,./classes/包/CG1gr.png,1
./classes/耿/DeXGZ.png,./classes/耿/OtuZn.png,0
./classes/锅/UCXHo.png,./classes/锅/c6rAS.png,0
./classes/壬/t8hxc.png,./classes/壬/YUfAi.png,0
./classes/皮/rSIXL.png,./classes/皮/nug5q.png,0
./classes/芽/glpMF.png,./classes/江/CS5rg.png,1
./classes/鸿/RIZio.png,./classes/金/cCsqH.png,1
./classes/磺/YWPuC.png,./classes/磺/rcPs0.png,0
./classes/园/1zWJG.png,./classes/园/uk3pe.png,0
./classes/兰/iLvzt.png,./classes/兰/6MGiq.png,0
./classes/路/YcvGN.png,./classes/路/3cpFb.png,0
./classes/桂/3mPiO.png,./classes/气/h74XW.png,1
./classes/酶/8heDt.png,./classes/酶/PCAXD.png,0
./classes/杆/1aQZV.png,./classes/路/vnKmD.png,1
./classes/南/r0tSE.png,./classes/南/chkPS.png,0
./classes/肝/AIGxl.png,./classes/肝/gfnNt.png,0
./classes/粉/RSNBa.png,./classes/多/vBVZU.png,1
./classes/袜/FE9ZC.png,./classes/乐/QVjfD.png,1
./classes/圪/4ft1x.png,./classes/圪/ne8Dv.png,0
./classes/凉/f9ecE.png,./classes/佛/gt2RN.png,1
./classes/冻/Bm8rd.png,./classes/香/DZGI4.png,1
./classes/锄/OeWq3.png,./classes/爆/cRg4a.png,1
./classes/味/oKpAz.png,./classes/味/SA3eB.png,0
./classes/制/KJgQf.png,./classes/制/S57XA.png,0
./classes/几/314re.png,./classes/几/Fhvei.png,0
./classes/浸/S7UvB.png,./classes/派/7K9BZ.png,1
./classes/洞/r1ZT3.png,./classes/枣/VQ4Rb.png,1
./classes/酱/aTmwx.png,./classes/酱/Z209L.png,0
./classes/溜/gyVhE.png,./classes/炸/QAXCx.png,1
./classes/饭/h9OGb.png,./classes/饭/4SnON.png,0
./classes/脂/bdmL1.png,./classes/脂/rAOfc.png,0
./classes/南/chkPS.png,./classes/氨/pnxaF.png,1
./classes/茸/fgI2H.png,./classes/拉/bfdH9.png,1
./classes/地/zOFf4.png,./classes/茸/0nKut.png,1
./classes/菠/KSuiQ.png,./classes/鹅/C2mYZ.png,1
./classes/泼/2sgbY.png,./classes/酸/qP6rG.png,1
./classes/韭/LSyFx.png,./classes/胺/xFQps.png,1
./classes/饼/uMUY3.png,./classes/卷/7T59Y.png,1
./classes/全/I6e9B.png,./classes/热/7BUfm.png,1
./classes/老/SMxbk.png,./classes/老/VDlqa.png,0
./classes/蝶/FNPdB.png,./classes/蝶/sZ1iw.png,0
./classes/棘/wi4kO.png,./classes/热/7BUfm.png,1
./classes/烩/H0JWv.png,./classes/钙/H18sS.png,1
./classes/心/FCW7o.png,./classes/心/MQLDK.png,0
./classes/粥/p2sYZ.png,./classes/粥/kmb5T.png,0
./classes/辣/BpN37.png,./classes/喜/mJexC.png,1
./classes/白/NfidY.png,./classes/白/i4ZaR.png,0
